ID_User,ID_Wisata,Rating
U_000282,W_73ace55b,5
U_571620,W_73ace55b,5
U_709444,W_73ace55b,5
U_174968,W_73ace55b,5
U_893021,W_73ace55b,5
U_067490,W_73ace55b,2
U_120614,W_73ace55b,5
U_459231,W_73ace55b,5
U_857902,W_73ace55b,4
U_211015,W_73ace55b,5
U_037729,W_73ace55b,4
U_634967,W_73ace55b,5
U_110506,W_73ace55b,5
U_388702,W_73ace55b,5
U_081201,W_73ace55b,5
U_549666,W_73ace55b,5
U_775166,W_73ace55b,5
U_447363,W_73ace55b,5
U_125694,W_73ace55b,5
U_438816,W_73ace55b,5
U_163069,W_73ace55b,5
U_636239,W_73ace55b,5
U_648454,W_73ace55b,5
U_671681,W_73ace55b,4
U_692324,W_73ace55b,5
U_312763,W_73ace55b,5
U_198604,W_73ace55b,5
U_687013,W_73ace55b,4
U_527077,W_73ace55b,5
U_842901,W_73ace55b,5
U_085549,W_73ace55b,4
U_115605,W_73ace55b,5
U_957081,W_73ace55b,4
U_511616,W_73ace55b,5
U_593232,W_73ace55b,5
U_906472,W_73ace55b,5
U_825064,W_73ace55b,5
U_840904,W_73ace55b,5
U_522934,W_73ace55b,5
U_989943,W_73ace55b,5
U_064549,W_73ace55b,5
U_652608,W_73ace55b,5
U_384095,W_73ace55b,5
U_929409,W_73ace55b,5
U_012383,W_73ace55b,5
U_295348,W_73ace55b,5
U_363968,W_73ace55b,5
U_664455,W_73ace55b,5
U_279695,W_73ace55b,5
U_969656,W_73ace55b,5
U_078312,W_73ace55b,5
U_567985,W_73ace55b,5
U_582974,W_73ace55b,5
U_466812,W_73ace55b,5
U_598512,W_73ace55b,4
U_413132,W_73ace55b,5
U_293551,W_73ace55b,5
U_197707,W_73ace55b,5
U_177002,W_73ace55b,5
U_776862,W_73ace55b,5
U_270573,W_73ace55b,4
U_220526,W_73ace55b,5
U_501355,W_73ace55b,5
U_007676,W_73ace55b,5
U_176104,W_73ace55b,5
U_981957,W_73ace55b,5
U_689839,W_73ace55b,5
U_114709,W_73ace55b,5
U_568755,W_73ace55b,5
U_567412,W_73ace55b,5
U_609285,W_73ace55b,5
U_576544,W_73ace55b,3
U_518187,W_73ace55b,5
U_205995,W_73ace55b,5
U_047905,W_73ace55b,5
U_844830,W_6f17a023,5
U_790134,W_6f17a023,5
U_179774,W_6f17a023,5
U_690340,W_6f17a023,5
U_842761,W_6f17a023,5
U_440774,W_6f17a023,5
U_390712,W_6f17a023,5
U_689275,W_6f17a023,5
U_492191,W_6f17a023,5
U_951321,W_6f17a023,5
U_123696,W_6f17a023,5
U_904855,W_6f17a023,5
U_553717,W_6f17a023,5
U_687651,W_6f17a023,5
U_684639,W_6f17a023,5
U_090544,W_6f17a023,5
U_004796,W_6f17a023,5
U_183355,W_6f17a023,5
U_241315,W_6f17a023,5
U_378836,W_6f17a023,5
U_284855,W_6f17a023,5
U_691853,W_6f17a023,5
U_405879,W_6f17a023,5
U_023479,W_6f17a023,5
U_440172,W_6f17a023,5
U_368581,W_6f17a023,4
U_575915,W_6f17a023,5
U_062259,W_6f17a023,5
U_381786,W_6f17a023,5
U_442133,W_6f17a023,4
U_468132,W_6f17a023,5
U_693112,W_6f17a023,5
U_152331,W_6f17a023,5
U_472979,W_6f17a023,4
U_170644,W_6f17a023,4
U_918402,W_6f17a023,5
U_391951,W_6f17a023,5
U_814590,W_6f17a023,5
U_581927,W_6f17a023,5
U_213493,W_6f17a023,5
U_427994,W_6f17a023,5
U_649633,W_6f17a023,5
U_889703,W_6f17a023,5
U_988783,W_6f17a023,5
U_824310,W_6f17a023,5
U_503109,W_6f17a023,2
U_770592,W_6f17a023,5
U_257185,W_6f17a023,5
U_997533,W_6f17a023,5
U_954780,W_6f17a023,5
U_491736,W_6f17a023,4
U_632706,W_6f17a023,5
U_074210,W_6f17a023,5
U_518674,W_6f17a023,5
U_417604,W_6f17a023,5
U_116611,W_6f17a023,4
U_718189,W_6f17a023,5
U_144074,W_6f17a023,5
U_790045,W_6f17a023,5
U_343312,W_6f17a023,3
U_319250,W_6f17a023,5
U_974096,W_6f17a023,5
U_269150,W_6f17a023,5
U_573323,W_6f17a023,5
U_122091,W_6f17a023,5
U_949288,W_6f17a023,5
U_073530,W_6f17a023,5
U_450711,W_6f17a023,5
U_444742,W_6f17a023,5
U_623166,W_6f17a023,5
U_339150,W_6f17a023,5
U_651195,W_6f17a023,5
U_458500,W_6f17a023,5
U_210184,W_6f17a023,5
U_280087,W_6f17a023,5
U_298247,W_6f17a023,5
U_289767,W_6f17a023,5
U_615573,W_6f17a023,5
U_075244,W_6f17a023,5
U_777018,W_6f17a023,5
U_517750,W_6f17a023,5
U_064691,W_6f17a023,5
U_476437,W_6f17a023,5
U_988603,W_6f17a023,5
U_372234,W_6f17a023,5
U_976058,W_6f17a023,5
U_476555,W_6f17a023,5
U_608536,W_6f17a023,5
U_009270,W_6f17a023,5
U_069790,W_6f17a023,5
U_326236,W_6f17a023,5
U_487398,W_6f17a023,5
U_798409,W_6f17a023,5
U_738654,W_6f17a023,5
U_309154,W_6f17a023,5
U_398229,W_6f17a023,5
U_146763,W_6f17a023,5
U_842850,W_6f17a023,5
U_606124,W_6f17a023,5
U_755899,W_6f17a023,5
U_119439,W_6f17a023,5
U_946833,W_6f17a023,5
U_637073,W_6f17a023,5
U_184984,W_6f17a023,5
U_933741,W_6f17a023,5
U_633735,W_6f17a023,5
U_412371,W_6f17a023,5
U_494065,W_6f17a023,5
U_786225,W_6f17a023,5
U_651147,W_6f17a023,5
U_769456,W_6f17a023,4
U_207199,W_6f17a023,5
U_448129,W_6f17a023,5
U_889545,W_6f17a023,5
U_054781,W_6f17a023,5
U_558436,W_6f17a023,5
U_578519,W_6f17a023,5
U_965408,W_6f17a023,5
U_399196,W_6f17a023,5
U_056088,W_6f17a023,5
U_960860,W_6f17a023,5
U_942602,W_6f17a023,5
U_537092,W_6f17a023,5
U_757010,W_6f17a023,5
U_108221,W_6f17a023,5
U_775401,W_6f17a023,4
U_757223,W_6f17a023,5
U_987189,W_6f17a023,5
U_408924,W_6f17a023,4
U_457852,W_6f17a023,5
U_027657,W_6f17a023,5
U_856720,W_6f17a023,5
U_787615,W_6f17a023,5
U_620285,W_6f17a023,5
U_386832,W_6f17a023,4
U_781391,W_6f17a023,5
U_520126,W_6f17a023,5
U_100163,W_6f17a023,5
U_987357,W_6f17a023,4
U_132147,W_6f17a023,5
U_652563,W_6f17a023,5
U_182397,W_6f17a023,5
U_692094,W_6f17a023,5
U_005854,W_6f17a023,5
U_674368,W_6f17a023,5
U_048802,W_6f17a023,5
U_635664,W_6f17a023,5
U_019246,W_6f17a023,5
U_266640,W_6f17a023,4
U_173363,W_6f17a023,5
U_792537,W_6f17a023,5
U_076664,W_6f17a023,5
U_848730,W_6f17a023,5
U_652988,W_6f17a023,5
U_667246,W_6f17a023,5
U_176739,W_6f17a023,3
U_080043,W_6f17a023,5
U_425199,W_6f17a023,5
U_070805,W_6f17a023,5
U_887342,W_6f17a023,5
U_104774,W_6f17a023,5
U_538544,W_6f17a023,5
U_063098,W_6f17a023,3
U_466874,W_6f17a023,5
U_447656,W_6f17a023,5
U_723506,W_6f17a023,4
U_524708,W_6f17a023,5
U_363968,W_6f17a023,5
U_566195,W_6f17a023,4
U_616381,W_6f17a023,5
U_833482,W_6f17a023,5
U_626730,W_6f17a023,5
U_520821,W_6f17a023,5
U_693821,W_6f17a023,4
U_884817,W_6f17a023,5
U_585784,W_6f17a023,5
U_042259,W_6f17a023,5
U_935287,W_6f17a023,5
U_365738,W_6f17a023,5
U_383790,W_6f17a023,5
U_495005,W_6f17a023,5
U_378438,W_6f17a023,5
U_110814,W_6f17a023,5
U_443175,W_6f17a023,5
U_059832,W_6f17a023,5
U_597195,W_6f17a023,5
U_623141,W_6f17a023,5
U_814077,W_6f17a023,5
U_649159,W_6f17a023,5
U_789112,W_6f17a023,5
U_882424,W_6f17a023,5
U_219738,W_6f17a023,5
U_844271,W_6f17a023,5
U_856720,W_6f17a023,5
U_638226,W_6f17a023,5
U_610345,W_6f17a023,5
U_631401,W_6f17a023,5
U_469665,W_6f17a023,5
U_443882,W_6f17a023,5
U_917516,W_6f17a023,3
U_508821,W_6f17a023,5
U_165137,W_6f17a023,4
U_851221,W_6f17a023,5
U_222397,W_6f17a023,5
U_120127,W_6f17a023,5
U_508816,W_6f17a023,5
U_651150,W_6f17a023,5
U_755420,W_6f17a023,5
U_891543,W_6f17a023,5
U_488449,W_6f17a023,1
U_868035,W_6f17a023,5
U_420801,W_6f17a023,5
U_279405,W_6f17a023,5
U_384445,W_6f17a023,4
U_338253,W_6f17a023,5
U_813750,W_6f17a023,5
U_606990,W_6f17a023,5
U_040145,W_6f17a023,5
U_909191,W_6f17a023,3
U_075762,W_6f17a023,5
U_745587,W_6f17a023,5
U_785313,W_6f17a023,5
U_289800,W_6f17a023,5
U_270140,W_6f17a023,5
U_888076,W_6f17a023,5
U_070073,W_6f17a023,5
U_358049,W_6f17a023,4
U_759212,W_6f17a023,5
U_847101,W_6f17a023,5
U_106036,W_6f17a023,5
U_851709,W_6f17a023,5
U_733091,W_6f17a023,5
U_066466,W_6f17a023,5
